Catalogo de Servicio,Area,Item
Software,Ingenierí_a,MP9
Software,Ingenierí_a,PRO-E
Software,Ingenierí_a,QGAGES
Software,Ingenierí_a,Solid Work
Software,Ingenierí_a,Team Mate
ControlCambio,SOLinux,Respaldos
Aplicaciones,Portal de Costos,Portal de Costos
ControlCambio,SOWindows,Actualizaciones
ControlCambio,Base de Datos,Creacií_n de Objetos
ControlCambio,SOWindows,Reinicio de Procesos
ControlCambio,SOWindows,Reinstalacií_n
ControlCambio,SOWindows,Tareas Programadas
ControlCambio,SOLinux,Restauraciones
ControlCambio,SOLinux,Usuarios
ControlCambio,SOWindows,Usuarios
ControlCambio,Comunicaciones,Configuracií_n
ControlCambio,Comunicaciones,Gabinete
ControlCambio,Comunicaciones,Instalacií_n
ControlCambio,Comunicaciones,Rack
ControlCambio,Comunicaciones,ParchCore
ControlCambio,Oracle Apps,Configuracií_n
ControlCambio,Oracle Apps,Admin Cuentas
ControlCambio,Oracle Apps,Clonado
ControlCambio,Oracle Apps,FailOver
ControlCambio,Base de Datos,FailOver
ControlCambio,Base de Datos,Clonado
ControlCambio,Base de Datos,Mantenimiento Preventivo
ControlCambio,Base de Datos,Mantenimiento Correctivo
ControlCambio,Base de Datos,Configuracií_n
ControlCambio,Base de Datos,Reinicio
ControlCambio,Base de Datos,Actualizaciones
ControlCambio,Base de Datos,Usuarios
Accesos,Lync,Cuenta
Comunicaciones,Red WAN,Soporte
Comunicaciones,Red LAN,Cableado
Accesos,FolderCompartido,Permisos
Comunicaciones,Monitoreo,Switch
Comunicaciones,Infraestructura,Enlace MPLS
Comunicaciones,Red WiFi,Soporte
Comunicaciones,Red LAN,Fibra
Comunicaciones,Red WAN,Cableado
Accesos,FolderCompartido,Carpeta
Comunicaciones,Infraestructura,Enlace Respaldo
Comunicaciones,Monitoreo,Servidor
Comunicaciones,Monitoreo,Impresora
Comunicaciones,Red WiFi,Cableado
Comunicaciones,Voz,Clave Llamadas
Comunicaciones,Voz,Marcacií_n Corta
Hardware,Desktop,Tarjeta de Video
Hardware,Desktop,Tarjeta de Audio
Hardware,Desktop,Tarjeta de Red
Software,Ingenierí_a,PC-DEMMIS
Software,Base de Datos,Rendimiento
Hardware,Laptop,HDD Interno
Software,Agentes,VPN Cisco AnyConnect
Software,Base de Datos,Clonado
Software,Aplicaciones Servidor,Dominio
Software,Sistemas Operativos,Almacenamiento Red
Software,Sistemas Operativos,Almacenamiento Local
Software,Sistemas Operativos,Personalizaciones
Software,Sistemas Operativos,Actualizaciones
Software,Sistemas Operativos,Datos
Software,Sistemas Operativos,Paríçmetros de Kernel
Software,Ingenierí_a,TrustedLink
Software,Ingenierí_a,MAGMA
Software,Ingenierí_a,Fluke
Software,Ingenierí_a,NX
Software,Sistemas Operativos,Particiones
Software,Sistemas Operativos,Procesos
Software,Sistemas Operativos,Proxy
Software,Sistemas Operativos,Puertos
Software,Sistemas Operativos,Rendimiento
Software,Standard,DataLoad
Comunicaciones,Telefonia Movil,Configuracion
Software,Standard,Imíçgenes
Software,Standard,Cliente Oracle
Software,Standard,Consola Virtual XP
Software,Sistemas Operativos,Scripts
Software,Sistemas Operativos,Tareas Programadas
Software,Sistemas Operativos,Usuarios
Hardware,Servidores,Perifericos
Hardware,Servidores,Procesadores
Software,Base de Datos,Actualizaciones
Software,Base de Datos,Procesos
Software,Base de Datos,DRP
Software,Base de Datos,Datos
Software,Base de Datos,Almacenamiento
Software,Base de Datos,Parametros
Software,Base de Datos,Objetos
Software,Base de Datos,Usuarios
Comunicaciones,Telefonia Movil,Reparacion
Software,Aplicacií_n Oracle,Personalizaciones
Software,Aplicacií_n Oracle,Desarrollos
Software,Aplicacií_n Oracle,Menus
Software,Aplicacií_n Oracle,Concurrentes
Software,Aplicacií_n Oracle,Procesos
Software,Aplicacií_n Oracle,Scripts
Software,Aplicacií_n Oracle,Monitoreo
Software,Base de Datos,Scripts
Software,Base de Datos,Monitoreo
Comunicaciones,Telefonia Movil,Garantia
Perfil,Usuario,Nombre
Perfil,Usuario,Foto
Perfil,Usuario,Idioma
Software,Aplicacií_n Oracle,Rendimiento
Software,Aplicacií_n Oracle,Clonados
Software,Aplicacií_n Oracle,Actualizaciones
Software,Aplicacií_n Oracle,Responsabilidades
Software,Aplicacií_n Oracle,Usuarios
Perfil,Usuario,Zona Horaria
Perfil,Usuario,Contraseí±a
Empresa,Informacií_n,Nombre
Empresa,Informacií_n,Logo
Empresa,Informacií_n,Sitio Web
Empresa,Informacií_n,Telí©fono
Empresa,Metas,Tiempo
Empresa,Metas,Trabajo
Empresa,Reglas de actividades en computadora,Periodo de aníçlisis
Empresa,Reglas de actividades en computadora,Estadí_sticas personales
Empresa,Reglas de actividades en computadora,Pop-up de estado íçnimo
Empresa,Reglas de actividades sin computadora,Lí_mite de tiempo fuera
Empresa,Reglas de actividades sin computadora,Pop-up de actividades sin computadora
Empresa,Reglas de actividades sin computadora,Actividades sin computadora
Administradores y Gerentes,Administrador,Invitacií_n
Administradores y Gerentes,Administrador,Eliminacií_n
Administradores y Gerentes,Administrador,Rol de Administrador a Gerente
Administradores y Gerentes,Gerente,Invitacií_n
Administradores y Gerentes,Gerente,Eliminacií_n
Administradores y Gerentes,Gerente,Rol de Gerente a Administrador
Administradores y Gerentes,Gerente,Equipos para gerenciar
Equipos y Colegas,Colegas,Creacií_n
Equipos y Colegas,Colegas,Asignacií_n de primer equipo
Equipos y Colegas,Colegas,Cambio de equipo
Equipos y Colegas,Colegas,Eliminacií_n
Equipos y Colegas,Colegas,En Espera
Equipos y Colegas,Colegas,Ignorados
Equipos y Colegas,Colegas,Icono de Befective
Equipos y Colegas,Colegas,Pop-up de estado de animo
Equipos y Colegas,Colegas,Pop-up de actividades sin computadora
Equipos y Colegas,Equipos,Diferencias entre equipo y sub-equipo
Equipos y Colegas,Equipos,Creacií_n
Equipos y Colegas,Equipos,Meta de tiempo
Equipos y Colegas,Equipos,Reglas de actividades en computadora
Equipos y Colegas,Equipos,Reglas de actividades sin computadora
Equipos y Colegas,Equipos,Copia de metas y reglas
Equipos y Colegas,Equipos,Actividades relacionadas al trabajo
Equipos y Colegas,Equipos,Actualizacií_n de informacií_n
Equipos y Colegas,Equipos,Cambio en la estructura organizacional
Equipos y Colegas,Equipos,Eliminacií_n
Equipos y Colegas,Actividades relacionadas al trabajo,Actividades sin computadora
Equipos y Colegas,Actividades relacionadas al trabajo,Categorias en computadora
Equipos y Colegas,Actividades relacionadas al trabajo,Actividades individuales en computadora
Equipos y Colegas,Dí_as Libres,Organizacional
Equipos y Colegas,Dí_as Libres,Equipo
Equipos y Colegas,Dí_as Libres,Individual
Equipos y Colegas,Inventario,Agentes Mac instalados
Equipos y Colegas,Inventario,Agentes Windows instalados
Equipos y Colegas,Logs,Accií_n realizada
Equipos y Colegas,Logs,Elementos modificados
Agente,Requerimientos Tí©cnicos,Sistema Operativo
Agente,Requerimientos Tí©cnicos,Conectividad
Agente,Requerimientos Tí©cnicos,Nombre de Usuario de Colega
Agente,Windows,Comprobador de requisitos de Windows
Agente,Windows,Agente regular
Agente,Windows,Míçquina Virtual de Windows
Agente,Mac,Agente regular
Estadisticas,Histí_rico,General
Estadisticas,Histí_rico,General por dí_a
Estadisticas,Histí_rico,Colega por dí_a
Estadisticas,Histí_rico,Colega por horas
Estadisticas,Histí_rico,Colega por hora
Estadisticas,Ejecutivo,Resumen
Estadisticas,Ejecutivo,Meta de Tiempo
Estadisticas,Ejecutivo,Meta de Trabajo
Estadisticas,Ejecutivo,Estados de íçnimo
Estadisticas,Ejecutivo,Equipos
Estadisticas,Ejecutivo,Colegas
Estadisticas,Ejecutivo,Actividades
Estadisticas,Ejecutivo,Actividad Individual
Estadisticas,Hoy,Resumen
Estadisticas,Hoy,Detalles
Estadisticas,Compartir Estadí_sticas,Email
Estadisticas,Compartir Estadí_sticas,PDF
Estadisticas,Compartir Estadí_sticas,Excel
Estadisticas,Estadí_sticas Automíçticas,Creacií_n
Estadisticas,Estadí_sticas Automíçticas,Actualizacií_n
Estadisticas,Estadí_sticas Automíçticas,Activacií_n/Desactivacií_n
Estadisticas,Estadí_sticas Automíçticas,Eliminacií_n
Sugerencias,Funcionalidades,Mejora a una existente
Sugerencias,Funcionalidades,idea nueva
Sugerencias,Servicio,Soporte
Sugerencias,Servicio,Ventas
Sugerencias,Servicio,Otro
Accesos,ColaboraTupy,ColaboraTupy LOLO
LOLO,LOLO2,-------
LOLO,LOLO1,LALLA
LOLO,LOLO2,-------
LOLO,LOLO2,-------
LOLO,LOLO2,LALA1
